code,topic,variant,n_sessions,qid,subpart_id,n_words,text
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.1,15,What percentage of households in your catchment area are aware of Seasonal Malaria Chemoprevention (SMC)?
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.2,18,"For every 50 caregivers, how many refuse Seasonal Malaria Chemoprevention (SMC)? What are the main reasons for refusals?"
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.3,28,"For every 50 children under 5, who receive Seasonal Malaria Chemoprevention (SMC), how many spit up or reject the medicine? Do these children typically receive an extra dose?"
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.4,48,"Do children under 5 years, who receive Seasonal Malaria Chemoprevention (SMC) usually take the 2nd and 3rd dose? Are caregivers reminded by campaign workers to take these subsequent Seasonal Malaria Chemoprevention (SMC) doses? For every 10 children that get the first dose how many get all 3 doses?"
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.5,51,"In your catchment area, did any lead mothers or mama-to-mama networks visit households on the 2nd and 3rd day to remind caregivers to give the second and third dose? Out of every 10 caregivers, how many are reminded by lead mothers or mama-to-mama networks to give the second and third dose?"
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.6,26,"Before a seasonal malaria chemoprevention campaign happens, what activities occur to inform households that the campaign is going to happen? Are they advertised? If yes, how?"
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.7,58,"What happens when caregivers are not home during the time when Community Drug Distributors (CDDs) are delivering Seasonal Malaria Chemoprevention (SMC)? Are these households visited again? Out of every 10 households visited, how many don't have the parents at homeWhat happens when children under 5 are sick at the time Community Drug Distributors (CDDs) are visiting a household?"
1,Seasonal Malaria Chemoprevention,160f8ed1e1,980,Q1,Q1.8,17,"Do the Fulani or other nomadic populations get the SMC drugs? If no, who else is missed?"
10,Malaria 2,45577b1f5e,216,Q1,Q1.1,76,"In your catchment area, do you notice that some households tend to have a heavier burden of malaria than others, whether in terms of more frequent cases, deaths, or less access to treatment and prevention? If so, what do you think makes those households different? For example, do you see patterns related to income levels, the nutritional status or general health of children, housing conditions, proximity to water sources, distance from the clinic, or ethnic group?"
10,Malaria 2,45577b1f5e,216,Q1,Q1.2,44,"In your community, how common is it for pregnant women to attend antenatal care coverage (ANC) during their first trimester of pregnancy? For women who don't come in during that early period, what are the main reasons you've heard or observed for that delay?"
10,Malaria 2,45577b1f5e,216,Q1,Q1.3,42,"When pregnant women do come for ANC visits at your facility or in your area, how consistently do they receive an ITN or Intermittent Preventive Treatment in pregnancy (IPTp)? Roughly what proportion of pregnant women do you think receive these through ANC?"
10,Malaria 2,45577b1f5e,216,Q1,Q1.4,45,"When caregivers bring their children under 5 for immunization visits under the EPI programme, how often do those children also receive an ITN? Out of every 10 children under 5 who come for immunization, roughly how many do you think go home with a bednet?"
10,Malaria 2,45577b1f5e,216,Q1,Q1.5,25,How often do you see or hear of children between 5 and 15 years old dying from malaria in your catchment area? What about adults?
10,Malaria 2,45577b1f5e,216,Q1,Q1.6,34,"Have you heard of rectal artesunate? If yes, what is your sense of whether caregivers in your catchment area would be willing to accept and use it for a child with suspected severe malaria?"
10,Malaria 2,45577b1f5e,216,Q1,Q1.7,41,"When you identify a child under 5 with danger signs of severe malaria and refer them to a hospital, what proportion of the caregivers actually end up reaching the hospital? For those who don't go, what reasons do caregivers typically give?"
10,Malaria 2,45577b1f5e,216,Q1,Q1.8,33,"How often do you find yourself without the supplies you need to test and treat malaria (mRDTs or ACTs)? When that happens, what do you tell patients who come to you seeking care?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.1,76,"In your catchment area, do you notice that some households tend to have a heavier burden of malaria than others, whether in terms of more frequent cases, deaths, or less access to treatment and prevention? If so, what do you think makes those households different? For example, do you see patterns related to income levels, the nutritional status or general health of children, housing conditions, proximity to water sources, distance from the clinic, or ethnic group?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.2,42,"When pregnant women do come for ANC visits at your facility or in your area, how consistently do they receive an ITN or Intermittent Preventive Treatment in pregnancy (IPTp)? Roughly what proportion of pregnant women do you think receive these through ANC?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.3,45,"When caregivers bring their children under 5 for immunization visits under the EPI programme, how often do those children also receive an ITN? Out of every 10 children under 5 who come for immunization, roughly how many do you think go home with a bednet?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.4,25,How often do you see or hear of children between 5 and 15 years old dying from malaria in your catchment area? What about adults?
10L,Malaria 4,36e0602d48,15,Q1,Q1.5,34,"Have you heard of rectal artesunate? If yes, what is your sense of whether caregivers in your catchment area would be willing to accept and use it for a child with suspected severe malaria?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.6,41,"When you identify a child under 5 with danger signs of severe malaria and refer them to a hospital, what proportion of the caregivers actually end up reaching the hospital? For those who don't go, what reasons do caregivers typically give?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.7,33,"How often do you find yourself without the supplies you need to test and treat malaria (mRDTs or ACTs)? When that happens, what do you tell patients who come to you seeking care?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.8,44,"In your community, how common is it for pregnant women to attend antenatal care coverage (ANC) during their first trimester of pregnancy? For women who don't come in during that early period, what are the main reasons you've heard or observed for that delay?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.9,35,"Can you tell me about a child under 5 who you referred for severe malaria and who did not make it to the hospital in time — what happened, and what got in the way?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.10,34,"In the last rainy season, did you notice any change in the number of malaria cases — more, fewer, or about the same as the previous year? What do you think caused that change?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.11,31,"Are there households in your catchment area that you know have never owned or used a bednet, even after receiving one during a campaign? What do you think the reason is?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.12,31,"When a pregnant woman in your area is diagnosed with malaria, what treatment does she typically receive? Do you think women in your catchment area get appropriate malaria treatment during pregnancy?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.13,27,"Out of every 10 children under 5 in your catchment area who you suspect have malaria, how many actually get tested with an RDT before receiving treatment?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.14,27,Have you ever seen a caregiver refuse to test their child for malaria with an RDT — even when you offered one? What reason did they give?
10L,Malaria 4,36e0602d48,15,Q1,Q1.15,35,"Do caregivers in your community know the difference between malaria and other causes of fever in a young child — for example, pneumonia or a common cold? How do you explain the difference to them?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.16,46,"Think about the malaria-related work you did last month - things like checking on sick children, distributing medication, or following up on cases. How much time did you spend conducting visits? How much time did you spend traveling to households in order to conduct these visits?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.17,46,"Thinking about all the malaria-related activities you do (household visits, testing children for malaria, distributing nets, and following up on referrals) are all of these things part of your paid duties, or are some of them things you do voluntarily on top of your regular work?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.18,42,"When you refer a child with severe malaria to a hospital, do you follow up afterwards to find out how they are doing? If you do follow up, how do you usually do it? How much time does that follow-up take you?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.19,31,"During the rainy season when malaria cases are highest, how does the increase in sick children affect your ability to keep up with your other duties? How do you handle this?"
10L,Malaria 4,36e0602d48,15,Q1,Q1.20,39,"When there are other health campaigns happening at the same time as malaria activities, for example a vaccination drive or a nutrition programme, how do you decide where to spend your time? Is it hard to balance these priorities?"
10S,Malaria 3,e6db15586c,25,Q1,Q1.1,76,"In your catchment area, do you notice that some households tend to have a heavier burden of malaria than others, whether in terms of more frequent cases, deaths, or less access to treatment and prevention? If so, what do you think makes those households different? For example, do you see patterns related to income levels, the nutritional status or general health of children, housing conditions, proximity to water sources, distance from the clinic, or ethnic group?"
